countryname,year,v2xps_party,PI_7,normalPS,avg_psi,avg_pi7,avg_nps
Argentina,1987,0.813937795227287,0.5168424214046082,0.6746861800486849,0.7708471872891234,0.4594443483967612,0.6514247481146863
Argentina,1988,0.813937795227287,0.5168424214046082,0.6746861800486849,0.7703326365064909,0.47693655678182645,0.6585137285177198
Argentina,1989,0.813937795227287,0.5168424214046082,0.6746861800486849,0.7513270239974124,0.4775637456882061,0.658767906250368
Argentina,1990,0.720507944297896,0.25097260012408695,0.5669384382355462,0.7486762698607448,0.4482462306027583,0.6468865425408079
Argentina,1991,0.720507944297896,0.25097260012408695,0.5669384382355462,0.734334373068193,0.4234614757968571,0.6368421480741244
Argentina,1992,0.720507944297896,0.25097260012408695,0.5669384382355462,0.717869372208063,0.3780800524754119,0.6184506440681371
Argentina,1993,0.720507944297896,0.25097260012408695,0.5669384382355462,0.7162464470482383,0.37553449050688453,0.6174190168137417
Argentina,1994,0.720507944297896,0.25097260012408695,0.5669384382355462,0.7058939080881345,0.354612676958143,0.6089401373619293
Argentina,1995,0.720507944297896,0.25097260012408695,0.5669384382355462,0.7082844269949355,0.3563409515562893,0.6096405466234484
Argentina,1996,0.715293540273603,0.25032711701061416,0.56667684650046235,0.7063104513015561,0.35157258098127253,0.6077080927664753
Argentina,1997,0.715293540273603,0.25032711701061416,0.56667684650046235,0.7115383422399811,0.3607113937575838,0.6114117340250356
Argentina,1998,0.715293540273603,0.25032711701061416,0.56667684650046235,0.7171952640942274,0.36981903837273816,0.6151027439177457
Argentina,1999,0.715293540273603,0.25032711701061416,0.56667684650046235,0.720291142205442,0.37476920194905733,0.6171088721213348
Argentina,2e3,0.711612784491749,0.2540758444836227,0.5681960746623654,0.7076039894226702,0.35242476670330086,0.608053453840973
Argentina,2001,0.696521685786148,0.22489476762009364,0.5563700045932717,0.7134158488790454,0.3441028829451552,0.6046808853476667
Argentina,2002,0.688546714925465,0.21653505838236148,0.5529821067557443,0.7060408390388146,0.3398415115327129,0.6029539005228894
Argentina,2003,0.688546714925465,0.21653505838236148,0.5529821067557443,0.7170934424995747,0.3544596027213908,0.6088781017263676
Argentina,2004,0.697687258450402,0.26046955207803213,0.5707872207796386,0.7152445874610159,0.3408993421257579,0.6033826022727627
Argentina,2005,0.676768296423532,0.270998012709885,0.5750540377218057,0.7068170813274306,0.3295306010732775,0.5987752490584592
Argentina,2006,0.676768296423532,0.270998012709885,0.5750540377218057,0.7020153598523025,0.3244611415576944,0.5967207743821443
Argentina,2007,0.676768296423532,0.2722431345758077,0.5755586420755048,0.70676704591035,0.33004504710281046,0.5989837360454364
Argentina,2008,0.676768296423532,0.2722431345758077,0.5755586420755048,0.7080186010032066,0.33798937145009156,0.6022032929117552
Argentina,2009,0.673394270290166,0.19810676334781366,0.5455137631661056,0.7149570140306905,0.35335584564215,0.6084307875775647
Argentina,2010,0.660818354702166,0.15425138055542292,0.5277407100250152,0.7169616776696097,0.35661493366465724,0.6097515819915531
Argentina,2011,0.658548555303356,0.1151581618180632,0.5118975954553731,0.712978448085577,0.34495222471416315,0.6050250938674507
Argentina,2012,0.658548555303356,0.1151581618180632,0.5118975954553731,0.7127343732818799,0.3420047506694103,0.6038305857023443
Argentina,2013,0.686951720753328,0.17979983867771115,0.5380946067411815,0.6811671282217567,0.31201947834463,0.5916786033333556
Argentina,2014,0.686951720753328,0.17979983867771115,0.5380946067411815,0.6867194825909015,0.2965003119027802,0.5853892278379426
Armenia,1991,0.623090607938163,0.21025836915679125,0.5504383840915443,0.734334373068193,0.4234614757968571,0.6368421480741244
Armenia,1992,0.593337832034844,0.29332169057169544,0.584101043760284,0.717869372208063,0.3780800524754119,0.6184506440681371
Armenia,1993,0.558554689896325,0.2165115974503533,0.5529725988603671,0.7162464470482383,0.37553449050688453,0.6174190168137417
Armenia,1994,0.545181277222256,0.18873380289846747,0.5417152300431779,0.7058939080881345,0.354612676958143,0.6089401373619293
Armenia,1998,0.465063493037237,0.09577534178483216,0.5040424162609373,0.7171952640942274,0.36981903837273816,0.6151027439177457
Armenia,1999,0.440463775228514,0.04768224884134973,0.4845519673769244,0.720291142205442,0.37476920194905733,0.6171088721213348
Armenia,2e3,0.420342310287712,0.024172291948170516,0.4750242039280163,0.7076039894226702,0.35242476670330086,0.608053453840973
Armenia,2001,0.434819949696338,0.040078629013618354,0.48147048613885923,0.7134158488790454,0.3441028829451552,0.6046808853476667
Armenia,2002,0.457027176246856,0.082022979730417,0.49846906480335873,0.7060408390388146,0.3398415115327129,0.6029539005228894
Armenia,2003,0.504324888043678,0.24665935102938086,0.5651904292001702,0.7170934424995747,0.3544596027213908,0.6088781017263676
Armenia,2004,0.509723329857064,0.2713256766082683,0.5751868284422962,0.7152445874610159,0.3408993421257579,0.6033826022727627
Armenia,2005,0.47027789706153,0.20273893571835727,0.5473910206532902,0.7068170813274306,0.3295306010732775,0.5987752490584592
Armenia,2006,0.465308876756027,0.19850218361547517,0.5456740131738065,0.7020153598523025,0.3244611415576944,0.5967207743821443
Armenia,2007,0.589289000674805,0.3507650672006733,0.6073808356677812,0.70676704591035,0.33004504710281046,0.5989837360454364
Armenia,2008,0.639960738604994,0.4477103936959222,0.6466693865792412,0.7080186010032066,0.33798937145009156,0.6022032929117552
Armenia,2009,0.614563523710202,0.4945061178627256,0.6656340572635592,0.7149570140306905,0.35335584564215,0.6084307875775647
Armenia,2010,0.614563523710202,0.4945061178627256,0.6656340572635592,0.7169616776696097,0.35661493366465724,0.6097515819915531
Armenia,2011,0.65517452916999,0.4243615921939381,0.6372069337752143,0.712978448085577,0.34495222471416315,0.6050250938674507
Armenia,2012,0.663333537819766,0.43747678157087855,0.6425220614268254,0.7127343732818799,0.3420047506694103,0.6038305857023443
